p_unemp_tot, lga_name16, lga_code16
70,"Central Highlands (R) (Qld)","32270"
98,"Charters Towers (R)","32310"
13,"Boulia (S)","30900"
0,"Bulloo (S)","31750"
295,"Bundaberg (R)","31820"
80,"Burdekin (S)","31900"
132,"Cherbourg (S)","32330"
48,"Cloncurry (S)","32450"
68,"Cook (S)","32500"
8,"Croydon (S)","32600"
21,"Weipa (T)","37300"
118,"Western Downs (R)","37310"
123,"Whitsunday (R)","37340"
3,"Clare and Gilbert Valleys (DC)","41140"
4,"Etheridge (S)","33100"
4,"Flinders (S) (Qld)","33200"
6,"Diamantina (S)","32750"
65,"Doomadgee (S)","32770"
46,"Douglas (S)","32810"
307,"Fraser Coast (R)","33220"
248,"Gladstone (R)","33360"
496,"Gold Coast (C)","33430"
23,"Goondiwindi (R)","33610"
116,"Gympie (R)","33620"
27,"Hinchinbrook (S)","33800"
154,"Hope Vale (S)","33830"
587,"Ipswich (C)","33960"
28,"Isaac (R)","33980"
133,"Kowanyama (S)","34420"
107,"Livingstone (S)","34530"
35,"Lockhart River (S)","34570"
83,"Lockyer Valley (R)","34580"
613,"Logan (C)","34590"
19,"Adelaide (C)","40070"
4,"Winton (S)","37400"
45,"Woorabinda (S)","37550"
5,"Adelaide Hills (DC)","40120"
14,"Alexandrina (DC)","40220"
24,"Wujal Wujal (S)","37570"
281,"Yarrabah (S)","37600"
21,"Ceduna (DC)","41010"
174,"Anangu Pitjantjatjara (AC)","40250"
7,"Barossa (DC)","40310"
3,"Barunga West (DC)","40430"
25,"Berri and Barmera (DC)","40520"
12,"Burnside (C)","40700"
20,"Campbelltown (C) (SA)","40910"
98,"Charles Sturt (C)","41060"
0,"Cleve (DC)","41190"
13,"Coober Pedy (DC)","41330"
29,"Copper Coast (DC)","41560"
0,"Elliston (DC)","41750"
0,"Franklin Harbour (DC)","41960"
32,"Gawler (T)","42030"
4,"Goyder (DC)","42110"
0,"Grant (DC)","42250"
7,"Flinders Ranges (DC)","41830"
17,"Holdfast Bay (C)","42600"
3,"Kangaroo Island (DC)","42750"
0,"Karoonda East Murray (DC)","43080"
12,"Light (RegC)","43650"
0,"Lower Eyre Peninsula (DC)","43710"
7,"Loxton Waikerie (DC)","43790"
25,"Mallala (DC)","43920"
21,"Mount Barker (DC)","44550"
41,"Port Pirie City and Dists (M)","46450"
4,"Kimba (DC)","43220"
0,"Kingston (DC) (SA)","43360"
0,"Maralinga Tjarutja (AC)","44000"
57,"Marion (C)","44060"
8,"Mid Murray (DC)","44210"
26,"Mitcham (C)","44340"
33,"Mount Gambier (C)","44620"
5,"Mount Remarkable (DC)","44830"
66,"Murray Bridge (RC)","45040"
0,"Orroroo/Carrieton (DC)","45400"
0,"Streaky Bay (DC)","47490"
7,"Naracoorte and Lucindale (DC)","45090"
6,"Northern Areas (DC)","45120"
10,"Norwood Payneham St Peters (C)","45290"
129,"Onkaparinga (C)","45340"
0,"Peterborough (DC)","45540"
204,"Playford (C)","45680"
178,"Port Adelaide Enfield (C)","45890"
199,"Port Augusta (C)","46090"
55,"Port Lincoln (C)","46300"
15,"Prospect (C)","46510"
19,"Renmark Paringa (DC)","46670"
0,"Robe (DC)","46860"
